#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520425510066306808,0.7011528166,0.4922418746,1.1755808211,0.9960276648,0.0633093968,-0.0480961694,-0.0400945108
1520425510074639808,0.7005480902,0.4918543089,1.1755643367,0.9961463032,0.0619478597,-0.0474439662,-0.0400509109
1520425510082972808,0.7001816765,0.4921804055,1.1750857694,0.9959940361,0.0633317208,-0.0480047435,-0.0409941194
1520425510091306808,0.6998973629,0.4922331164,1.1747481284,0.9959548604,0.0636218508,-0.0482781045,-0.0411752450
1520425510099639808,0.6992863172,0.4918667566,1.1747396233,0.9961052199,0.0621877037,-0.0472596527,-0.0409097241
1520425510107972808,0.6988692760,0.4918929969,1.1744558285,0.9961047423,0.0622152137,-0.0470428697,-0.0411287962
1520425510116305808,0.6984447972,0.4921939769,1.1740186005,0.9960172530,0.0630972291,-0.0471158144,-0.0418147275
1520425510124639808,0.6980644286,0.4921994762,1.1737837011,0.9960446199,0.0627572418,-0.0468753514,-0.0419445493
1520425510132972808,0.6976664268,0.4922777729,1.1735510091,0.9960771938,0.0624660237,-0.0465252236,-0.0419955172
1520425510141306808,0.6974123408,0.4924489466,1.1731885231,0.9960630893,0.0626511223,-0.0465290454,-0.0420500535
1520425510149639808,0.6968374773,0.4923801634,1.1730512315,0.9961438912,0.0619504072,-0.0455353869,-0.0422613730
1520425510157972808,0.6964549922,0.4924520234,1.1728131517,0.9961898504,0.0616143981,-0.0449840122,-0.0422597506
1520425510166305808,0.6961395152,0.4925696080,1.1725635410,0.9962148675,0.0614585653,-0.0446103545,-0.0422930117
1520425510174639808,0.6957577302,0.4926628841,1.1723413254,0.9962698136,0.0610558013,-0.0440214024,-0.0421990966
1520425510182972808,0.6955329783,0.4928017710,1.1720362262,0.9962883510,0.0610543769,-0.0438376995,-0.0419540325
1520425510191306808,0.6951621699,0.4929214545,1.1718023900,0.9963429561,0.0606980999,-0.0433339159,-0.0416968382
1520425510199639808,0.6947477175,0.4930906005,1.1715102685,0.9963563471,0.0607397522,-0.0430210800,-0.0416401109
1520425510207972808,0.6943643348,0.4931695955,1.1713089435,0.9964304773,0.0602469284,-0.0424447957,-0.0411709961
1520425510216306808,0.6940021042,0.4933105650,1.1710442027,0.9964466726,0.0602018040,-0.0422740635,-0.0410204225
1520425510224639808,0.6935867321,0.4934321321,1.1708075822,0.9965000272,0.0598736970,-0.0418802180,-0.0406064474
1520425510232972808,0.6931802083,0.4935415235,1.1705393055,0.9965314389,0.0597542175,-0.0416026060,-0.0402957561
1520425510241305808,0.6926880992,0.4934859260,1.1703832699,0.9966163088,0.0592807120,-0.0407713244,-0.0397420358
1520425510249639808,0.6922663278,0.4936048659,1.1701147565,0.9966374284,0.0591909972,-0.0405858758,-0.0395354134
1520425510257972808,0.6919030222,0.4937835233,1.1698435405,0.9966165131,0.0593949278,-0.0406773357,-0.0396626109
1520425510266306808,0.6915567916,0.4939765188,1.1694572923,0.9965807529,0.0598574740,-0.0409262701,-0.0396096717
1520425510274639808,0.6911371528,0.4941089552,1.1691709281,0.9965883722,0.0599369216,-0.0407580525,-0.0394710386
1520425510282972808,0.6906257838,0.4942353307,1.1688537674,0.9966249735,0.0598404199,-0.0402927089,-0.0391699361
1520425510291305808,0.6902319806,0.4943947895,1.1685078026,0.9966167265,0.0600678531,-0.0401864897,-0.0391407663
1520425510299639808,0.6895923341,0.4943279048,1.1683579877,0.9967016285,0.0594794337,-0.0391300260,-0.0389474243
1520425510307972808,0.6890636267,0.4944388711,1.1681032799,0.9967150283,0.0594173431,-0.0387027898,-0.0391257682
1520425510316306808,0.6885468371,0.4945498827,1.1678076058,0.9967166513,0.0596291495,-0.0383951109,-0.0390652915
1520425510324639808,0.6879777578,0.4944072369,1.1677682921,0.9967985788,0.0586764769,-0.0378713223,-0.0389284906
1520425510332972808,0.6873492354,0.4945288999,1.1675369856,0.9967823370,0.0588691258,-0.0376781765,-0.0392396964
1520425510341306808,0.6867044137,0.4949004388,1.1672031559,0.9967112546,0.0593689963,-0.0379209125,-0.0400499890
1520425510349639808,0.6859268159,0.4950292927,1.1669788492,0.9966889414,0.0595700722,-0.0376413179,-0.0405671264
1520425510357972808,0.6852527924,0.4951779964,1.1667306240,0.9966291674,0.0600224676,-0.0379853845,-0.0410453006
1520425510366305808,0.6843430119,0.4951868774,1.1667536808,0.9966482979,0.0595228912,-0.0376036285,-0.0416552871
1520425510374639808,0.6833427633,0.4952694802,1.1665989854,0.9966188433,0.0595685466,-0.0375331871,-0.0423524417
1520425510382972808,0.6825165808,0.4953344298,1.1665601754,0.9966080427,0.0593896847,-0.0377520872,-0.0426620961
1520425510391306808,0.6816525528,0.4953788286,1.1664757119,0.9965775883,0.0595076162,-0.0380475547,-0.0429457522
1520425510399639808,0.6809396360,0.4956105824,1.1662724461,0.9964663693,0.0601986079,-0.0391340214,-0.0435824597
1520425510407972808,0.6798397337,0.4952740094,1.1665210811,0.9966168981,0.0586789239,-0.0382682608,-0.0429776979
1520425510416305808,0.6789983536,0.4953495553,1.1664589910,0.9965740400,0.0590968811,-0.0386696010,-0.0430395571
1520425510424639808,0.6781470791,0.4957800715,1.1661726296,0.9964594490,0.0604439081,-0.0392919111,-0.0432579044
1520425510432972808,0.6773811449,0.4959496506,1.1659822107,0.9964099250,0.0610090473,-0.0399279805,-0.0430222489
1520425510441306808,0.6764801001,0.4959370084,1.1660604104,0.9964677081,0.0606383432,-0.0396567810,-0.0424551268
1520425510449639808,0.6756120673,0.4960420967,1.1659485097,0.9964755541,0.0608298398,-0.0398754760,-0.0417869240
