# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_nostructure_texture_near_withloop.bag'
# timestamp tx ty tz qx qy qz qw
1341840083.8994 -3.8422 1.4232 1.0629 -0.4943 0.8317 -0.2192 0.1259
1341840083.9093 -3.8421 1.4230 1.0628 -0.4943 0.8318 -0.2194 0.1249
1341840083.9193 -3.8418 1.4227 1.0627 -0.4940 0.8313 -0.2219 0.1249
1341840083.9294 -3.8418 1.4227 1.0628 -0.4943 0.8313 -0.2218 0.1240
1341840083.9393 -3.8415 1.4226 1.0627 -0.4939 0.8313 -0.2227 0.1242
1341840083.9493 -3.8416 1.4229 1.0629 -0.4942 0.8311 -0.2224 0.1247
1341840083.9612 -3.8415 1.4229 1.0627 -0.4944 0.8307 -0.2232 0.1253
1341840083.9693 -3.8413 1.4230 1.0629 -0.4944 0.8309 -0.2224 0.1257
1341840083.9793 -3.8413 1.4231 1.0628 -0.4946 0.8303 -0.2233 0.1267
1341840083.9894 -3.8413 1.4233 1.0628 -0.4951 0.8310 -0.2199 0.1262
1341840083.9993 -3.8413 1.4235 1.0627 -0.4951 0.8311 -0.2194 0.1267
1341840084.0095 -3.8412 1.4234 1.0626 -0.4956 0.8309 -0.2193 0.1264
1341840084.0194 -3.8412 1.4235 1.0625 -0.4956 0.8308 -0.2196 0.1263
1341840084.0293 -3.8410 1.4234 1.0623 -0.4955 0.8314 -0.2186 0.1246
1341840084.0393 -3.8409 1.4233 1.0620 -0.4954 0.8313 -0.2196 0.1236
1341840084.0493 -3.8410 1.4234 1.0617 -0.4952 0.8313 -0.2204 0.1233
1341840084.0620 -3.8409 1.4234 1.0616 -0.4955 0.8312 -0.2206 0.1227
1341840084.0693 -3.8407 1.4233 1.0615 -0.4952 0.8316 -0.2199 0.1220
1341840084.0801 -3.8407 1.4234 1.0613 -0.4957 0.8315 -0.2195 0.1215
1341840084.0899 -3.8407 1.4235 1.0613 -0.4956 0.8318 -0.2185 0.1217
1341840084.0993 -3.8405 1.4234 1.0613 -0.4953 0.8318 -0.2188 0.1221
1341840084.1096 -3.8404 1.4235 1.0613 -0.4954 0.8317 -0.2187 0.1228
1341840084.1193 -3.8402 1.4236 1.0612 -0.4950 0.8317 -0.2192 0.1235
1341840084.1293 -3.8402 1.4236 1.0613 -0.4946 0.8319 -0.2190 0.1242
1341840084.1393 -3.8400 1.4237 1.0612 -0.4948 0.8315 -0.2194 0.1247
1341840084.1498 -3.8398 1.4238 1.0611 -0.4946 0.8315 -0.2199 0.1252
1341840084.1594 -3.8399 1.4237 1.0609 -0.4953 0.8312 -0.2197 0.1244
1341840084.1693 -3.8398 1.4238 1.0607 -0.4953 0.8313 -0.2198 0.1239
1341840084.1794 -3.8396 1.4238 1.0606 -0.4958 0.8312 -0.2192 0.1230
1341840084.1893 -3.8395 1.4236 1.0605 -0.4963 0.8312 -0.2187 0.1218
1341840084.1993 -3.8393 1.4241 1.0601 -0.4949 0.8320 -0.2186 0.1227
1341840084.2094 -3.8392 1.4240 1.0601 -0.4950 0.8317 -0.2193 0.1227
1341840084.2193 -3.8391 1.4235 1.0604 -0.4970 0.8309 -0.2190 0.1214
1341840084.2293 -3.8391 1.4235 1.0603 -0.4966 0.8308 -0.2197 0.1222
1341840084.2394 -3.8388 1.4236 1.0604 -0.4965 0.8308 -0.2195 0.1228
