# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_teddy.bag'
# timestamp tx ty tz qx qy qz qw
1341841873.4151 -2.1837 0.6821 1.4854 -0.2651 0.7889 -0.5183 0.1970
1341841873.4251 -2.1802 0.6824 1.4860 -0.2631 0.7903 -0.5176 0.1958
1341841873.4351 -2.1767 0.6826 1.4864 -0.2609 0.7909 -0.5182 0.1948
1341841873.4451 -2.1731 0.6828 1.4867 -0.2588 0.7916 -0.5186 0.1935
1341841873.4551 -2.1695 0.6831 1.4871 -0.2576 0.7925 -0.5183 0.1921
1341841873.4651 -2.1660 0.6834 1.4875 -0.2564 0.7944 -0.5168 0.1900
1341841873.4751 -2.1623 0.6836 1.4878 -0.2544 0.7949 -0.5175 0.1888
1341841873.4851 -2.1587 0.6841 1.4883 -0.2522 0.7950 -0.5189 0.1873
1341841873.4951 -2.1549 0.6844 1.4885 -0.2510 0.7956 -0.5192 0.1857
1341841873.5051 -2.1510 0.6848 1.4888 -0.2495 0.7955 -0.5204 0.1843
1341841873.5151 -2.1468 0.6851 1.4891 -0.2476 0.7953 -0.5221 0.1833
1341841873.5252 -2.1428 0.6855 1.4893 -0.2453 0.7960 -0.5230 0.1812
1341841873.5357 -2.1388 0.6859 1.4898 -0.2440 0.7961 -0.5238 0.1798
1341841873.5452 -2.1346 0.6862 1.4899 -0.2432 0.7972 -0.5230 0.1780
1341841873.5550 -2.1304 0.6865 1.4901 -0.2418 0.7978 -0.5233 0.1766
1341841873.5651 -2.1260 0.6870 1.4904 -0.2407 0.7979 -0.5240 0.1756
1341841873.5752 -2.1217 0.6875 1.4907 -0.2396 0.7978 -0.5249 0.1748
1341841873.5851 -2.1173 0.6879 1.4909 -0.2383 0.7988 -0.5244 0.1737
1341841873.5951 -2.1127 0.6882 1.4912 -0.2367 0.7992 -0.5247 0.1727
1341841873.6051 -2.1078 0.6882 1.4913 -0.2356 0.7988 -0.5257 0.1733
1341841873.6151 -2.1032 0.6884 1.4915 -0.2336 0.7993 -0.5263 0.1720
1341841873.6256 -2.0985 0.6888 1.4916 -0.2312 0.7991 -0.5281 0.1706
1341841873.6371 -2.0939 0.6890 1.4918 -0.2286 0.7991 -0.5296 0.1692
1341841873.6469 -2.0891 0.6891 1.4920 -0.2274 0.8002 -0.5290 0.1680
1341841873.6551 -2.0843 0.6894 1.4922 -0.2258 0.8005 -0.5298 0.1663
1341841873.6654 -2.0795 0.6897 1.4924 -0.2245 0.8009 -0.5303 0.1642
1341841873.6752 -2.0744 0.6898 1.4926 -0.2228 0.8004 -0.5321 0.1633
1341841873.6851 -2.0696 0.6901 1.4928 -0.2218 0.8004 -0.5328 0.1621
1341841873.6951 -2.0648 0.6904 1.4931 -0.2207 0.8002 -0.5339 0.1607
1341841873.7051 -2.0595 0.6902 1.4935 -0.2204 0.8006 -0.5340 0.1594
1341841873.7151 -2.0548 0.6905 1.4938 -0.2185 0.8004 -0.5354 0.1582
1341841873.7251 -2.0497 0.6904 1.4941 -0.2169 0.8007 -0.5361 0.1563
1341841873.7352 -2.0448 0.6904 1.4944 -0.2157 0.8016 -0.5356 0.1550
1341841873.7451 -2.0400 0.6904 1.4947 -0.2134 0.8026 -0.5355 0.1532
1341841873.7551 -2.0352 0.6903 1.4950 -0.2118 0.8050 -0.5332 0.1508
1341841873.7651 -2.0304 0.6903 1.4953 -0.2094 0.8064 -0.5325 0.1493
1341841873.7753 -2.0258 0.6900 1.4955 -0.2072 0.8062 -0.5338 0.1489
1341841873.7851 -2.0211 0.6899 1.4959 -0.2044 0.8074 -0.5334 0.1477
